,Bedrooms,property_type,location,price,Living area,Kitchen type,Furnished,How many fireplaces?,Garden surface,Terrace surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
326,2,Apartment,1030,"€239,000",59,USA hyper equipped,Yes,0,0,5,0,2,0,Good
327,2,Apartment,1070,"€239,000",79,USA installed,No,0,500,12,0,2,No,As new
328,1,Duplex,1700,"€239,000",78,Installed,No,0,0,0,0,2,0,Good
329,5,House,4050,Make,250,Semi equipped,No,0,200,30,296,3,0,Good
330,3,House,4460,"€239,000",175,Installed,No,0,175,15,440,4,Yes,Just renovated
331,4,House,9600,"€239,500",173,Installed,No,0,85,25,190,2,0,As new
332,0,Studio,1050,"€240,000",35,Hyper equipped,0,0,0,0,0,0,0,As new
333,2,Apartment,6700,"€240,000",102,Installed,No,0,0,0,0,4,0,Good
334,1,Apartment,1140,"€245,000",60,USA hyper equipped,Yes,0,0,6,0,2,0,As new
335,3,House,4420,"€245,000",116,USA hyper equipped,No,0,120,0,177,2,No,As new
336,2,Apartment,1030,"€249,000",100,Installed,No,0,0,0,0,2,0,Good
337,2,Apartment,1200,"€249,000",75,Installed,No,0,0,16,0,2,No,Good
338,2,Apartment,8370,"€249,000",78,Installed,No,0,0,18,0,2,0,Good
339,2,Apartment,8400,"€249,000",65,Installed,No,0,0,54,0,2,0,Good
340,2,Apartment,1020,"€249,500",95,Hyper equipped,0,0,0,4,0,2,No,Good
341,4,House,9600,"€249,900",173,Hyper equipped,No,0,20,10,133,2,0,Just renovated
342,2,Apartment,1200,"€250,000",80,Semi equipped,No,0,0,18,0,2,No,Good
343,3,Apartment,1600,"€253,000",124,Semi equipped,No,0,0,85,0,2,0,To renovate
344,3,Apartment,1602,"€253,000",124,Semi equipped,No,0,0,85,0,2,0,To renovate
345,1,Duplex,1348,"€255,000",72,Not installed,No,0,0,4,0,1,No,Just renovated
346,2,Apartment,1861,"€255,000",92,Semi equipped,No,0,0,0,0,2,0,Good
347,3,Apartment,6640,"€255,000",123,USA installed,No,0,0,0,0,4,0,As new
348,2,Apartment,1030,"€259,000",80,Hyper equipped,Yes,0,0,0,0,2,No,Good
349,2,Apartment,1090,"€259,000",100,USA hyper equipped,No,0,0,0,0,2,No,Good
350,1,Apartment,8370,"€259,000",65,Installed,No,0,0,0,0,0,0,Good
351,2,Apartment,4000,"€260,000",85,Semi equipped,No,0,0,15,0,2,No,As new
352,3,Apartment,4000,"€260,000",147,Installed,No,0,0,0,0,2,No,Good
353,2,Apartment,6700,"€260,000",85,Installed,No,0,0,0,0,0,0,Good
354,2,Apartment,1000,"€265,000",76,USA hyper equipped,Yes,0,0,0,0,2,0,Good
355,2,Apartment,1030,"€265,000",136,Semi equipped,No,0,0,10,0,2,No,Good
356,2,Apartment,1200,"€265,000",80,Hyper equipped,No,0,0,9,0,0,No,Good
357,3,Villa,9600,"€265,000",175,Hyper equipped,No,0,90,10,498,3,0,Good
358,2,House,1601,"€267,000",102,USA hyper equipped,No,0,15,10,81,2,No,As new
359,1,Apartment,1932,"€269,000",55,USA hyper equipped,No,0,0,15,0,0,No,As new
360,2,Apartment,1000,"€270,000",72,USA hyper equipped,Yes,0,0,5,0,2,0,Good
361,1,Apartment,1050,"€270,000",60,Installed,No,0,0,10,0,0,No,To renovate
362,2,Apartment,1932,"€270,000",90,Installed,No,0,0,6,0,0,No,Good
363,2,Apartment,1000,"€275,000",82,USA hyper equipped,No,0,0,2,0,2,0,As new
364,2,Duplex,1050,"€275,000",78,USA installed,No,0,0,2,0,2,No,As new
365,8,Apartment block,1080,"€275,000",270,Semi equipped,No,0,0,0,76,2,0,To restore
366,3,Duplex,4520,"€275,000",132,Installed,No,0,0,64,0,4,0,As new
367,2,Apartment,9040,"€275,000",80,Installed,No,0,0,9,0,2,0,Good
368,2,Apartment,1630,"€278,000",104,Not installed,No,0,0,0,0,2,0,To be done up
369,3,Duplex,1800,"€279,000",140,Installed,No,0,0,0,0,3,No,Good
370,2,Apartment,4590,"€279,000",177,Semi equipped,No,0,0,3,0,2,0,To be done up
371,2,Apartment,9000,"€279,000",78,Hyper equipped,No,0,0,7,0,2,0,Good
372,3,House,1330,Make,115,Installed,No,0,0,9,164,3,0,Good
373,3,Mixed-use building,4500,Make,322,Semi equipped,No,0,400,0,492,3,0,Good
374,1,Apartment,1340,"€290,000",59,USA hyper equipped,0,0,0,4,0,0,0,As new
375,2,Apartment,1630,"€290,000",106,Not installed,No,0,0,0,0,2,0,To be done up
376,2,Apartment,1040,"€295,000",95,Hyper equipped,No,0,0,6,0,2,No,As new
377,2,Apartment,1050,"€295,000",71,Installed,No,0,0,10,0,2,0,Good
378,5,House,6800,"€295,000",460,Semi equipped,No,0,0,10,321,2,0,To be done up
379,5,Mansion,9600,"€295,000",261,Installed,No,0,66,31,279,3,No,Good
380,2,Apartment,1140,"€299,000",85,USA hyper equipped,No,0,0,0,0,0,No,Good
381,3,Triplex,1190,Make,130,Semi equipped,No,0,0,26,0,2,0,To be done up
382,3,Apartment,1700,"€300,000",122,Installed,No,0,0,11,0,0,0,Good
383,3,Penthouse,1440,"€320,000",103,USA hyper equipped,No,0,0,34,0,2,No,As new
384,2,Apartment,1050,"€325,000",74,Hyper equipped,Yes,0,0,4,0,2,No,As new
385,2,Apartment,4460,"€325,000",216,Not installed,No,0,80000,0,0,0,0,As new
386,2,Apartment,1000,"€329,000",90,Installed,No,0,0,0,0,4,No,To be done up
387,2,Apartment,8370,"€330,000",86,Installed,Yes,0,0,0,0,2,0,Good
388,2,Apartment,1000,"€335,000",86,Hyper equipped,Yes,0,0,0,0,2,No,As new
389,4,House,4470,Make,140,Hyper equipped,No,0,1300,40,2013,4,No,To be done up
390,2,Apartment,1030,"€340,000",100,Hyper equipped,No,1,0,3,0,2,0,Good
391,2,Apartment,1140,"€340,000",85,USA hyper equipped,Yes,0,0,10,0,2,0,As new
392,1,Service flat,2830,"€343,000",117,Installed,No,0,0,5,0,2,Yes,Good
393,2,Apartment,1040,"€345,000",85,USA semi equipped,0,0,0,2,0,0,No,As new
394,2,Apartment,1180,"€345,000",75,Installed,No,0,0,8,0,2,0,As new
395,3,Apartment,1200,"€345,000",100,USA hyper equipped,No,0,0,14,0,3,No,As new
396,2,Apartment,1180,"€349,000",93,Installed,No,0,0,7,0,2,No,Good
397,3,House,1930,"€349,000",120,Semi equipped,No,0,100,14,171,2,0,To renovate
398,1,Duplex,9300,"€349,000",125,Installed,No,1,0,0,0,2,0,Good
399,2,Apartment,1180,"€350,000",107,USA semi equipped,No,0,0,10,0,2,No,Good
400,3,Apartment,1200,"€350,000",106,Hyper equipped,No,0,0,28,0,2,No,Just renovated
401,4,House,1420,Make,207,Installed,No,0,490,20,585,3,0,Good
402,1,Loft,2800,"€364,900",137,USA hyper equipped,0,0,0,46,0,2,0,Good
403,4,Penthouse,4500,"€369,000",222,Installed,No,0,0,7,0,0,0,Just renovated
404,3,Apartment,8370,"€369,000",109,Installed,No,0,0,10,0,4,No,As new
405,2,Apartment,1180,"€375,000",89,Installed,No,0,0,5,0,2,0,Just renovated
406,3,Apartment,1190,"€375,000",109,USA hyper equipped,No,0,0,5,0,2,0,Just renovated
407,3,Duplex,9000,"€375,000",146,Not installed,No,0,0,0,0,2,0,Good
408,4,House,1480,"€378,000",210,Semi equipped,No,0,850,20,968,3,0,Good
409,3,Penthouse,2830,"€379,000",144,Installed,No,0,0,19,0,0,0,Good
410,2,Apartment,9000,"€379,000",95,Hyper equipped,No,0,0,14,0,2,0,Good
411,2,Duplex,1050,"€385,000",82,Installed,0,0,0,0,0,2,No,To renovate
412,1,Duplex,1050,"€385,000",82,Installed,0,0,0,0,0,2,No,To be done up
413,3,Penthouse,5300,"€389,000",151,USA installed,No,0,0,117,0,0,0,Good
414,2,Apartment,9000,"€389,000",95,Hyper equipped,No,0,0,13,0,2,0,Good
415,2,Apartment,1050,"€395,000",90,Hyper equipped,0,1,0,24,0,2,0,Good
416,3,House,3000,"€395,000",104,Installed,Yes,0,0,6,49,2,0,Good
417,5,Apartment block,4500,Make,400,Hyper equipped,No,0,366,0,603,4,No,As new
418,5,Exceptional property,4500,Make,400,Hyper equipped,No,0,366,0,603,4,No,As new
419,4,House,7181,"€395,000",380,Hyper equipped,No,0,2955,94,3145,4,0,Good
420,2,Apartment,8370,"€395,000",80,Installed,Yes,0,0,0,0,2,0,Good
421,3,Apartment,9000,"€395,000",115,Installed,No,0,0,11,0,2,0,Good
422,3,Apartment,1180,"€398,000",121,Hyper equipped,No,0,0,20,0,2,0,As new
423,1,Apartment,8370,"€398,000",77,Installed,Yes,0,0,0,0,2,0,Good
424,3,Loft,1080,"€399,000",192,Semi equipped,No,0,32,32,0,4,No,Good
425,3,Apartment,8000,"€399,000",154,Hyper equipped,No,1,18,18,0,2,No,As new
426,6,House,3202,"€400,000",293,Hyper equipped,0,0,0,15,1023,4,0,Good
427,3,Mixed-use building,1700,"€409,000",281,Hyper equipped,No,0,0,0,112,2,No,Good
428,4,House,1070,"€415,000",145,Installed,No,0,0,21,95,3,No,Good
429,4,House,4500,"€420,000",320,Installed,No,1,775,40,888,4,0,To be done up
430,3,Apartment,9000,"€420,000",115,Hyper equipped,No,0,0,31,0,2,0,Good
431,3,Apartment,9000,"€420,000",120,Hyper equipped,No,0,0,22,0,2,0,Good
432,2,Apartment,1000,"€425,000",115,Hyper equipped,No,0,0,0,0,2,0,As new
433,3,House,3000,"€425,000",125,Not installed,No,0,30,7,100,2,No,Good
434,2,Apartment,8370,"€425,000",91,Installed,Yes,0,0,0,0,2,0,Good
435,3,Villa,5030,"€429,500",204,Installed,No,0,0,26,810,4,Yes,Good
436,1,Apartment,1050,"€430,000",106,Installed,No,0,0,5,0,2,No,Good
437,4,Town-house,1853,"€430,000",155,USA hyper equipped,0,0,50,26,170,2,0,Just renovated
438,2,Apartment,3000,"€435,000",90,Installed,No,0,0,3,0,2,0,Just renovated
439,3,House,6730,"€435,000",175,Installed,No,0,0,0,823,4,0,As new
440,2,Apartment,1000,"€439,000",100,Hyper equipped,No,0,0,8,0,2,0,As new
441,2,Apartment,1000,"€439,000",115,USA hyper equipped,No,0,0,3,0,2,0,As new
442,2,Apartment,1000,"€449,000",115,Hyper equipped,No,0,0,3,0,2,0,As new
443,3,Apartment,1200,"€449,000",139,USA hyper equipped,No,0,0,19,0,3,No,As new
444,2,House,1970,"€449,000",168,Semi equipped,No,0,0,0,625,3,0,To renovate
445,4,House,4530,"€449,000",330,Installed,No,1,450,0,893,2,0,As new
446,4,Villa,7830,"€449,000",220,Installed,No,0,950,40,1150,4,0,As new
447,5,Duplex,1080,"€450,000",215,USA hyper equipped,No,0,0,14,0,2,0,As new
448,2,Mixed-use building,1190,"€450,000",220,Installed,No,0,60,0,193,2,0,As new
449,4,Apartment,4460,"€450,000",245,Installed,No,0,80000,0,0,0,0,As new
450,5,House,1460,"€465,000",225,USA hyper equipped,No,0,400,40,601,2,No,As new
451,5,House,1480,"€465,000",225,USA hyper equipped,No,0,400,40,601,2,No,As new
